Time,Gravity Acceleration,Angular Velocity,Linear Acceleration
0.02,"(9.73, -1.26, 0.07)","(0.0, 0.0, 0.0)","(0.98, 0.0, 0.01)"
0.04,"(9.73, -1.26, 0.07)","(0.0, 0.0, 0.0)","(0.98, 0.0, 0.01)"
0.06,"(8.58, -3.46, -3.27)","(-5.62, 4.46, 6.82)","(-2.24, -0.45, -1.19)"
0.08,"(8.58, -3.46, -3.27)","(0.0, 0.0, 0.0)","(3.83, -0.17, -0.36)"
0.1,"(8.58, -3.46, -3.27)","(0.0, 0.0, 0.0)","(0.89, -0.15, -0.38)"
0.12,"(8.58, -3.46, -3.27)","(0.0, 0.0, 0.0)","(0.89, -0.15, -0.38)"
0.14,"(8.58, -3.46, -3.27)","(0.0, 0.0, 0.0)","(0.89, -0.15, -0.38)"
0.16,"(8.58, -3.46, -3.27)","(0.0, 0.0, 0.0)","(0.89, -0.15, -0.38)"
0.18,"(8.58, -3.46, -3.27)","(0.0, 0.0, 0.0)","(0.89, -0.15, -0.38)"
0.2,"(8.58, -3.46, -3.27)","(0.0, 0.0, 0.0)","(0.89, -0.15, -0.38)"
0.22,"(8.58, -3.46, -3.27)","(0.0, 0.0, 0.0)","(0.89, -0.15, -0.38)"
0.24,"(8.58, -3.46, -3.27)","(0.0, 0.0, 0.0)","(0.89, -0.15, -0.38)"
0.26,"(8.58, -3.46, -3.27)","(0.0, 0.0, 0.0)","(0.89, -0.15, -0.38)"
0.28,"(8.58, -3.46, -3.27)","(0.0, 0.0, 0.0)","(0.89, -0.15, -0.38)"
0.3,"(8.58, -3.46, -3.27)","(0.0, 0.0, 0.0)","(0.89, -0.15, -0.38)"
0.32,"(8.58, -3.46, -3.27)","(0.0, 0.0, 0.0)","(0.89, -0.15, -0.38)"
0.34,"(8.58, -3.46, -3.27)","(0.0, 0.0, 0.0)","(0.89, -0.15, -0.38)"
0.36,"(8.58, -3.46, -3.27)","(0.0, 0.0, 0.0)","(0.89, -0.15, -0.38)"
0.38,"(9.18, -3.28, -1.08)","(8.33, 2.65, 0.71)","(-147.3, 27.86, 67.03)"
0.4,"(9.18, -3.28, -1.08)","(0.0, 0.0, 0.0)","(150.31, -26.04, -64.89)"
0.42,"(9.18, -3.28, -1.08)","(0.0, 0.0, 0.0)","(0.95, -0.05, -0.24)"
0.44,"(9.14, -3.22, -1.56)","(1.0, -2.47, -0.78)","(-56.06, 2.79, 14.12)"
0.46,"(9.11, -3.18, -1.79)","(0.46, -0.87, -0.3)","(37.02, -1.8, -9.5)"
0.48,"(9.09, -3.11, -1.99)","(0.67, -0.38, -0.43)","(-0.04, 0.05, -0.15)"
0.5,"(9.08, -3.02, -2.18)","(0.57, -0.24, -0.6)","(-0.02, -0.02, -0.04)"
0.52,"(9.07, -2.88, -2.38)","(0.57, -0.14, -0.91)","(-0.04, -0.02, -0.1)"
0.54,"(9.09, -2.63, -2.61)","(0.09, -0.26, -0.68)","(0.01, 0.38, 0.0)"
0.56,"(9.07, -2.46, -2.82)","(-0.76, -0.05, -0.26)","(-0.06, -0.17, -0.13)"
0.58,"(9.03, -2.28, -3.07)","(-1.34, 0.0, 0.01)","(-0.07, 0.07, -0.16)"
0.6,"(8.99, -2.19, -3.26)","(-1.44, 0.07, 0.22)","(0.01, -0.19, 0.07)"
0.62,"(8.93, -2.15, -3.46)","(-2.04, 0.15, 0.45)","(-0.06, -0.2, -0.11)"
0.64,"(8.84, -2.35, -3.55)","(-2.35, 0.05, 0.36)","(0.12, -0.98, 0.38)"
0.66,"(8.77, -2.6, -3.54)","(-1.74, -0.16, -0.09)","(0.14, -0.27, 0.48)"
0.68,"(8.7, -2.87, -3.5)","(-1.71, -0.37, -0.52)","(0.03, -0.43, 0.35)"
0.7,"(8.65, -3.17, -3.38)","(-1.27, -0.15, -0.36)","(0.02, 0.13, 0.24)"
0.72,"(8.67, -3.32, -3.17)","(-0.5, 0.16, -0.22)","(0.09, 0.82, -0.01)"
0.74,"(8.71, -3.36, -3.0)","(-0.09, 0.01, 0.02)","(0.08, 0.62, -0.1)"
0.76,"(8.81, -3.34, -2.74)","(0.4, 0.39, 0.79)","(0.17, 0.95, -0.02)"
0.78,"(8.91, -3.31, -2.42)","(0.86, 0.93, 0.69)","(-0.06, 0.2, -0.17)"
0.8,"(9.07, -3.3, -1.77)","(2.14, 2.97, 1.02)","(-0.07, 0.62, -0.34)"
0.82,"(9.14, -3.24, -1.49)","(1.96, 1.11, 0.3)","(-0.1, -0.57, 0.07)"
0.84,"(9.19, -3.18, -1.33)","(1.55, 0.37, 0.03)","(-0.02, -0.34, 0.11)"
0.86,"(9.19, -3.21, -1.22)","(1.52, -0.24, 0.28)","(0.07, -0.26, 0.34)"
0.88,"(9.19, -3.24, -1.16)","(1.02, -0.19, 0.14)","(-0.06, -0.17, -0.16)"
0.9,"(9.19, -3.25, -1.12)","(0.77, -0.24, -0.02)","(-0.03, -0.17, -0.06)"
0.92,"(9.18, -3.23, -1.24)","(0.29, -0.7, -0.27)","(-0.07, -0.13, -0.23)"
0.94,"(9.17, -3.21, -1.38)","(0.1, -0.71, -0.3)","(-0.02, -0.02, -0.09)"
0.96,"(9.13, -3.19, -1.64)","(0.37, -1.1, -0.24)","(-0.06, 0.08, -0.25)"
0.98,"(9.1, -3.14, -1.88)","(0.54, -0.81, -0.35)","(-0.05, 0.09, -0.18)"
1.0,"(9.08, -3.07, -2.08)","(0.65, -0.36, -0.42)","(-0.05, 0.07, -0.19)"
1.02,"(9.07, -2.95, -2.29)","(0.63, -0.22, -0.8)","(-0.07, -0.05, -0.21)"
1.04,"(9.06, -2.85, -2.45)","(0.46, -0.11, -0.73)","(0.02, -0.04, 0.13)"
1.06,"(9.08, -2.59, -2.68)","(0.0, -0.26, -0.64)","(-0.03, 0.8, -0.15)"
1.08,"(9.05, -2.39, -2.93)","(-1.0, -0.04, -0.22)","(-0.17, -0.25, -0.4)"
1.1,"(9.02, -2.25, -3.15)","(-1.15, 0.0, -0.01)","(0.0, -0.18, 0.09)"
1.12,"(8.96, -2.15, -3.37)","(-1.86, 0.11, 0.33)","(-0.14, -0.27, -0.26)"
1.14,"(8.89, -2.16, -3.54)","(-2.05, 0.14, 0.44)","(0.06, -0.67, 0.23)"
1.16,"(8.82, -2.34, -3.6)","(-1.89, 0.03, 0.27)","(0.27, -1.19, 0.75)"
1.18,"(8.74, -2.64, -3.59)","(-2.06, -0.23, -0.21)","(0.2, -1.28, 0.85)"
1.2,"(8.66, -2.96, -3.53)","(-1.86, -0.44, -0.54)","(0.09, -0.43, 0.79)"
1.22,"(8.63, -3.19, -3.41)","(-0.84, 0.01, -0.25)","(-0.06, 1.33, -0.29)"
1.24,"(8.66, -3.32, -3.2)","(-0.41, 0.16, -0.18)","(0.25, 1.02, 0.28)"
1.26,"(8.71, -3.36, -3.02)","(-0.02, 0.07, 0.14)","(0.13, 1.08, -0.18)"
1.28,"(8.8, -3.33, -2.76)","(0.44, 0.37, 0.77)","(0.24, 1.43, -0.05)"
1.3,"(8.95, -3.31, -2.28)","(1.39, 1.77, 0.89)","(-0.07, 0.74, -0.38)"
1.32,"(9.07, -3.3, -1.77)","(1.75, 2.39, 0.82)","(-0.28, -0.03, -0.6)"
1.34,"(9.13, -3.24, -1.53)","(1.92, 0.85, 0.2)","(-0.06, -0.64, 0.24)"
1.36,"(9.17, -3.2, -1.36)","(1.73, 0.27, 0.09)","(0.03, -0.4, 0.32)"
1.38,"(9.18, -3.23, -1.28)","(1.24, -0.19, 0.23)","(0.0, -0.6, 0.18)"
1.4,"(9.18, -3.25, -1.21)","(1.1, -0.23, 0.12)","(-0.03, -0.17, -0.03)"
1.42,"(9.17, -3.27, -1.17)","(0.76, -0.24, -0.02)","(-0.07, -0.25, -0.17)"
1.44,"(9.16, -3.25, -1.3)","(0.14, -0.7, -0.29)","(-0.14, -0.25, -0.47)"
1.46,"(9.15, -3.22, -1.47)","(0.15, -0.83, -0.32)","(-0.02, 0.01, -0.09)"
1.48,"(9.11, -3.2, -1.71)","(0.34, -1.0, -0.21)","(-0.07, 0.12, -0.3)"
1.5,"(9.08, -3.16, -1.95)","(0.55, -0.76, -0.36)","(-0.09, 0.14, -0.34)"
1.52,"(9.06, -3.09, -2.16)","(0.71, -0.4, -0.45)","(-0.1, 0.13, -0.33)"
1.54,"(9.05, -2.97, -2.35)","(0.57, -0.18, -0.78)","(-0.06, -0.13, -0.14)"
1.56,"(9.05, -2.8, -2.56)","(0.48, -0.19, -0.87)","(-0.03, 0.33, -0.09)"
1.58,"(9.05, -2.59, -2.77)","(-0.16, -0.19, -0.5)","(0.02, 0.55, 0.07)"
1.6,"(9.03, -2.42, -2.98)","(-0.87, -0.03, -0.16)","(-0.17, -0.24, -0.36)"
1.62,"(8.98, -2.24, -3.25)","(-1.48, -0.01, -0.02)","(-0.26, -0.08, -0.57)"
1.64,"(8.93, -2.17, -3.43)","(-1.66, 0.12, 0.37)","(0.11, -0.55, 0.42)"
1.66,"(8.85, -2.21, -3.6)","(-2.26, 0.14, 0.47)","(-0.04, -1.28, 0.05)"
1.68,"(8.78, -2.41, -3.65)","(-1.92, 0.01, 0.24)","(0.45, -1.55, 1.27)"
1.7,"(8.71, -2.69, -3.64)","(-1.86, -0.24, -0.28)","(0.25, -1.39, 1.1)"
1.72,"(8.63, -3.02, -3.56)","(-1.86, -0.46, -0.54)","(0.14, -0.82, 1.21)"
1.74,"(8.59, -3.26, -3.43)","(-0.83, 0.06, -0.26)","(-0.11, 1.89, -0.48)"
1.76,"(8.64, -3.37, -3.2)","(-0.33, 0.17, -0.13)","(0.46, 1.89, 0.4)"
1.78,"(8.7, -3.4, -3.01)","(0.07, 0.14, 0.28)","(0.13, 1.59, -0.48)"
1.8,"(8.78, -3.37, -2.79)","(0.4, 0.3, 0.66)","(0.19, 1.4, -0.16)"
1.82,"(8.94, -3.36, -2.23)","(1.61, 2.1, 0.96)","(0.04, 1.54, -0.39)"
1.84,"(9.07, -3.34, -1.7)","(1.86, 2.54, 0.87)","(-0.45, -0.17, -0.9)"
1.86,"(9.12, -3.27, -1.52)","(1.94, 0.46, 0.04)","(-0.07, -1.34, 0.5)"
1.88,"(9.15, -3.25, -1.39)","(1.44, 0.16, 0.1)","(-0.01, -0.66, 0.28)"
1.9,"(9.15, -3.29, -1.27)","(1.58, -0.24, 0.29)","(0.12, -0.29, 0.58)"
1.92,"(9.15, -3.31, -1.23)","(0.76, -0.19, 0.04)","(-0.23, -0.7, -0.6)"
1.94,"(9.15, -3.32, -1.21)","(0.72, -0.3, -0.05)","(-0.02, -0.14, -0.02)"
1.96,"(9.14, -3.29, -1.38)","(0.13, -0.87, -0.36)","(-0.19, -0.37, -0.63)"
1.98,"(9.12, -3.27, -1.56)","(0.21, -0.86, -0.27)","(-0.05, 0.13, -0.23)"
2.0,"(9.08, -3.25, -1.79)","(0.32, -0.94, -0.2)","(-0.05, 0.11, -0.22)"
2.02,"(9.05, -3.19, -2.02)","(0.67, -0.64, -0.43)","(-0.2, 0.27, -0.77)"
2.04,"(9.03, -3.13, -2.22)","(0.65, -0.36, -0.43)","(-0.04, 0.06, -0.08)"
2.06,"(9.03, -3.0, -2.41)","(0.55, -0.13, -0.88)","(-0.13, -0.18, -0.34)"
2.08,"(9.03, -2.81, -2.61)","(0.39, -0.21, -0.78)","(0.04, 0.75, 0.1)"
2.1,"(9.02, -2.59, -2.85)","(-0.42, -0.16, -0.51)","(-0.18, 0.35, -0.45)"
