Time,Gravity Acceleration,Angular Velocity,Linear Acceleration
0.02,"(9.73, -1.26, 0.07)","(0.0, 0.0, 0.0)","(0.98, 0.0, 0.01)"
0.04,"(9.68, -0.88, -1.32)","(-1.44, -3.88, 0.76)","(0.0, 0.1, -0.13)"
0.06,"(9.68, -0.93, -1.33)","(-0.62, 0.16, 0.2)","(0.0, -0.06, 0.05)"
0.08,"(9.68, -0.93, -1.33)","(0.0, 0.0, 0.0)","(2.93, 0.13, -0.18)"
0.1,"(9.68, -0.93, -1.33)","(0.0, 0.0, 0.0)","(0.98, 0.04, -0.06)"
0.12,"(9.68, -0.93, -1.33)","(0.0, 0.0, 0.0)","(0.98, 0.04, -0.06)"
0.14,"(9.68, -0.93, -1.33)","(0.0, 0.0, 0.0)","(0.98, 0.04, -0.06)"
0.16,"(9.68, -0.93, -1.33)","(0.0, 0.0, 0.0)","(0.98, 0.04, -0.06)"
0.18,"(9.68, -0.93, -1.33)","(0.0, 0.0, 0.0)","(0.98, 0.04, -0.06)"
0.2,"(9.68, -0.93, -1.33)","(0.0, 0.0, 0.0)","(0.98, 0.04, -0.06)"
0.22,"(9.68, -0.93, -1.33)","(0.0, 0.0, 0.0)","(0.98, 0.04, -0.06)"
0.24,"(9.68, -0.93, -1.33)","(0.0, 0.0, 0.0)","(0.98, 0.04, -0.06)"
0.26,"(9.68, -0.93, -1.33)","(0.0, 0.0, 0.0)","(0.98, 0.04, -0.06)"
0.28,"(9.68, -0.93, -1.33)","(0.0, 0.0, 0.0)","(0.98, 0.04, -0.06)"
0.3,"(9.68, -0.93, -1.33)","(0.0, 0.0, 0.0)","(0.98, 0.04, -0.06)"
0.32,"(9.68, -0.93, -1.33)","(0.0, 0.0, 0.0)","(0.98, 0.04, -0.06)"
0.34,"(9.68, -0.93, -1.33)","(0.0, 0.0, 0.0)","(0.98, 0.04, -0.06)"
0.36,"(9.68, -0.93, -1.33)","(0.0, 0.0, 0.0)","(0.98, 0.04, -0.06)"
0.38,"(9.72, -0.81, -1.08)","(-0.94, 3.74, -0.92)","(-163.42, -7.32, 9.33)"
0.4,"(9.72, -0.81, -1.08)","(0.0, 0.0, 0.0)","(165.3, 7.3, -10.46)"
0.42,"(9.71, -0.82, -1.12)","(1.2, -0.07, -0.25)","(-37.01, -1.5, 4.2)"
0.44,"(9.71, -0.84, -1.14)","(0.49, -0.36, -0.15)","(18.52, 0.7, -1.96)"
0.46,"(9.7, -0.86, -1.16)","(0.44, -0.48, -0.13)","(0.0, -0.01, 0.05)"
0.48,"(9.7, -0.9, -1.16)","(0.34, -0.45, 0.17)","(0.0, 0.08, 0.06)"
0.5,"(9.7, -0.94, -1.15)","(0.34, -0.43, 0.18)","(0.0, 0.0, 0.01)"
0.52,"(9.69, -0.99, -1.13)","(0.43, -0.27, 0.23)","(0.0, 0.02, 0.0)"
0.54,"(9.69, -1.07, -1.08)","(0.93, -0.43, 0.32)","(0.01, -0.05, 0.15)"
0.56,"(9.69, -1.11, -1.06)","(0.46, -0.14, 0.08)","(-0.02, -0.01, -0.21)"
0.58,"(9.69, -1.11, -1.06)","(0.44, 0.01, -0.1)","(-0.01, -0.01, -0.12)"
0.6,"(9.69, -1.12, -1.06)","(0.44, 0.03, -0.11)","(0.0, -0.01, -0.01)"
0.62,"(9.69, -1.13, -1.06)","(0.41, 0.24, -0.15)","(-0.01, -0.04, -0.14)"
0.64,"(9.69, -1.14, -1.02)","(0.81, 0.89, -0.26)","(-0.02, -0.1, -0.27)"
0.66,"(9.69, -1.15, -0.98)","(0.37, 0.53, -0.1)","(0.01, 0.1, 0.16)"
0.68,"(9.69, -1.17, -0.98)","(0.31, 0.4, -0.02)","(-0.01, 0.04, -0.03)"
0.7,"(9.69, -1.18, -0.99)","(0.29, 0.34, -0.03)","(0.0, 0.0, 0.0)"
0.72,"(9.68, -1.18, -1.05)","(0.14, -0.1, -0.08)","(0.01, 0.04, 0.1)"
0.74,"(9.67, -1.17, -1.15)","(0.15, -0.56, -0.37)","(0.02, -0.19, 0.17)"
0.76,"(9.67, -1.17, -1.19)","(0.03, -0.39, -0.24)","(0.01, 0.06, 0.13)"
0.78,"(9.68, -1.08, -1.17)","(0.02, -0.38, -0.24)","(0.02, 0.3, 0.27)"
0.8,"(9.7, -1.0, -1.05)","(-0.53, -0.56, -0.09)","(0.03, 0.0, 0.53)"
0.82,"(9.72, -0.94, -0.95)","(-0.81, -0.69, 0.02)","(-0.02, 0.06, 0.04)"
0.84,"(9.74, -0.9, -0.78)","(-1.88, -1.07, 0.39)","(-0.02, 0.21, 0.69)"
0.86,"(9.74, -0.91, -0.69)","(-0.94, -0.38, 0.23)","(-0.03, -0.26, -0.91)"
0.88,"(9.75, -0.93, -0.58)","(-1.07, -0.28, 0.12)","(-0.01, -0.12, 0.04)"
0.9,"(9.75, -0.96, -0.48)","(-1.1, -0.32, 0.11)","(-0.01, -0.01, 0.04)"
0.92,"(9.75, -0.99, -0.39)","(-1.07, -0.24, -0.02)","(0.0, -0.11, -0.07)"
0.94,"(9.75, -1.07, -0.2)","(-1.98, -0.43, 0.12)","(-0.06, 0.02, 0.64)"
